sample lat long elv Pflag thick dens shield erosion N14 N14unc samplingyr
A2020-UTSTE-1 -71.95754 23.32147 1336.00000 ant 3.5 2.65 0.9934 0 198185.000 3794.000 2017
A2020-UTSTE-2 -71.95751 23.32158 1334.00000 ant 4.5 2.65 0.9934 0 230956.000 3989.000 2017
A2020-UTSTE-3 -71.95747 23.32173 1333.00000 ant 4.0 2.65 0.9934 0 185682.000 3332.000 2017
A2020-KETEL-1 -72.09045 23.29667 1395.00000 ant 3.0 2.65 0.9967 0 673206.000 5066.000 2017
A2020-KETEL-2 -72.09029 23.29703 1401.00000 ant 4.0 2.65 0.9967 0 690987.000 5151.000 2017
A2020-KETEL-5 -72.09022 23.29906 1401.00000 ant 4.0 2.65 0.9960 0 394111.000 3842.000 2017
A2020-KETEL-6 -72.09024 23.29906 1394.00000 ant 4.0 2.65 0.9960 0 531616.000 4332.0000 2017
A2020-DRY-2 -72.13398 23.03660 1607.00000 ant 5.0 2.65 0.9975 0 603401.000 5141.000 2017
A2020-DRY-3 -72.13418 23.03688 1594.00000 ant 2.5 2.65 0.9975 0 535187.000 6109.000 2017
