sample lat long elv Pflag thick dens shield erosion N14 N14unc samplingyr
P11.14.1 -74.57451 -62.48811 510.00000 ant 3.6 2.70 0.9710 0 68500.000 1366.000 2011
P11.11.4 -74.57352 -62.48075 628.00000 ant 2.0 2.70 0.9973 0 155000.000 2532.000 2011
P11.13.3 -74.54890 -62.58970 710.00000 ant 4.6 2.70 0.9774 0 150800.000 2493.000 2011
P11.13.5 -74.54651 -62.59190 768.00000 ant 2.9 2.70 0.9975 0 173200.000 3077.000 2011
P11.13.6 -74.54570 -62.59340 795.00000 ant 5.3 2.70 0.9996 0 164400.000 2637.000 2011
P11.12.1 -74.55700 -62.46760 800.00000 ant 3.5 2.70 0.9998 0 155100.000 2537.000 2011
P11.12.2 -74.55510 -62.46920 830.00000 ant 5.5 2.70 0.9999 0 176700.000 2785.000 2011
P11.12.6 -74.55321 -62.47200 875.00000 ant 3.0 2.70 1.0000 0 177400.000 3398.000 2011
