47	6100	400
279.9	10800	4430
256.0710482	23510	1107
101	31100	1450
279.9	31300	13100
48	36600	1800
268	39810	1525
1	55840	1296
179	60280	1332
149.831999	61670	4206
510	68500	1366
451	70300	1410
78.9	72230	5941
46	72400	2100
170.414999	73040	4761
140	74510	7442
248	77348.40043	1502.523348
133	77840	1959
116	77900	1790
369	79900	1466
239	79920	2098
92	82700	6300
209	82784.14285	1503.103264
160.011999	83260	4870
292	83620	1500
39	84000	1840
133	87850	2952
256.0710482	88264	2958
159	88730	2144
109.6	90130	6632
125.9	91180	1420
74	92200	1910
181	93270	1740
153.645999	93510	4418
116	93610	2924
161.362999	94470	4772
92	96100	5100
639	98400	1900
125.3	98490	1505
263	99230	4861
125.9	99840	6383
353.5579469	101000	1785
151	101208.6861	1920.258161
115.5	101500	6394
236	102622.6636	1842.236084
125.3	103100	1944
223	103600	1852
74	103700	3023
851.699999	105000	1690
338	105200	7378
125.3	106500	1597
159	107900	2999
818	108000	1680
39	108300	3049
181.2	109600	1758
301.818999	109800	4694
70.3	114100	1689
141.6	115000	1700
184.6	117100	7001
200.3	120200	7275
131.6	120600	7935
239	122800	2261
96.1	123900	1804
498	124400	3244
281	124777.5	2272.3
180.1	126000	1832
352.3869331	127800	2081
813	128625.4843	2415.678993
181	130159.1698	2279.791997
64.4	131600	1898
242.6	133700	7878
242.6	134200	7873
180.1	134800	2298
64.1	136900	1960
126	137000	4600
446	139000	2400
326.4	139300	2105
164.9	140500	2002
965	144100	25770
143.3	144600	2811
550.5810185	149000	2488
118	149200	4400
180.1	149400	9039
298.5	150000	2150
710	150800	2493
884.842999	151000	2560
274.6	152300	9137
474	152500	2528
416.9390688	153600	2519
173	155000	2892
800	155100	2537
428	155798.8745	7536.8245
308	155900	2545
158	157700	2949
298.5	161100	9574
795	164400	2637
818	169100	3511
298.5	170300	2575
380	170400	2720
96	171600	6500
768	173200	3077
298.5	174400	2427
642	175000	17000
339	176200	2775
830	176700	2785
875	177400	3398
477	177421	8283
719.2070054	178200	3399
926	180000	2510
153.1	180800	2493
619	181000	2610
550.5810185	184600	2859
685	184800	5251
1333	185682	3332
576	189400	2926
635	190000	19000
284	191800	3054
1135	192000	6730
25.7	192023.2353	4259.106409
808	193000	3599
1336	198185	3794
478	199797	8274
825	200100	3061
563	203444	8386
389.6	204700	3108
516.9	206300	3118
719.2070054	208300	2834
499.3491648	209900	2854
1061	216000	2940
754	217200	3175
865.9684072	221600	3186
725.6475813	225600	3426
499.3491648	230300	3895
1334	230956	3989
557.5	234900	3457
713.1567675	235600	3458
922.8170296	236400	3957
499.3491648	237500	3487
19.1	241925.0012	4625.251428
593	249000	7090
65	251000	87000
550.5810185	252300	3674
990	253000	3390
616	253200	5749
1137	255000	3650
922.8170296	262400	3509
945.0662918	263100	3801
825	269400	3779
719.2070054	275500	3917
938	276000	14100
791	280300	3996
39	280600	4249
948.2865797	282800	4046
1034.356094	289600	4564
789	314400	4405
922.8170296	323900	4550
1287	324000	12500
1087	327000	4830
713.1567675	330509	10297
990	331400	5251
1485.1	344600	5352
893	353200	5036
1327	366000	3920
1077	389400	5323
1401	394111	3842
1230	399000	40000
1336	400000	4340
1132	400400	5467
1132	401700	5882
1896	432700	6818
1883	438500	7373
1738.9	442000	8920
1896	455000	7495
1753.5	464000	9500
499.3491648	469036	13153
1744.8	475000	9600
1764.8	477100	9797
1787.4	508700	9877
922.8170296	516503	11984
1394	531616	4332
1594	535187	6109
2304	590500	8356
19.1	601186.4644	10157.12965
1607	603401	5141
1395	673206	5066
1401	690987	5151
2265.4	732700	9756
2245.7	769000	10200
1921	806000	12000
2367.6	838000	11000
26.3	838871.2758	13131.84523
1948	852600	11190
2470.7	875600	11560
2530.4	881000	11870
2032	933300	12300
2308	966600	12680
2422	1040000	13600
2083	1051000	14130
2446.4	1140000	14900
2626.5	1160000	15080
2765.3	1180000	15470
2361	1210000	15780
2696	1306000	16830
2729.3	1355000	17570
1883	1437000	18500
