sample	14age(yr)	14uncext(yr)	14uncint(yr)	icedage(yr)	iceduncint(yr)	iceduncext(yr)	14age_PR1126(yr)	14uncext_PR1126(yr)	14uncint_PR1126(yr)
P11.14.1	2209	221	51	2891	69	186	2905	393	69
P11.11.4	5252	637	120	7376	195	626	7343	1331	194
P11.13.3	4851	573	109	6714	171	545	6750	1174	173
P11.13.5	5225	634	130	7349	210	628	7321	1327	210
P11.13.6	4824	568	105	6712	166	544	6717	1165	167
P11.12.1	4330	493	93	5993	144	463	5971	985	144
P11.12.2	5128	616	112	7178	180	599	7183	1286	181
P11.12.6	4734	558	123	6629	195	544	6588	1138	193
