sample	14age(yr)	14uncext(yr)	14uncint(yr)	icedage(yr)	iceduncext(yr)	iceduncint(yr)	14age_PR1117(yr)	14uncext_PR1117(yr)	14uncint_PR1117(yr)
A2020-UTSTE-1	3315	355	78	4599	118	329	4598	699	118
A2020-UTSTE-2	4123	464	92	5768	144	441	5784	950	145
A2020-UTSTE-3	3081	324	67	4242	99	294	4245	630	100
A2020-KETEL-1	60000	60000	60000	0	0	0	60000	60000	60000
A2020-KETEL-2	60000	60000	60000	0	0	0	60000	60000	60000
A2020-KETEL-5	8231	1209	138	13585	336	1757	13640	3928	341
A2020-KETEL-6	16232	4345	415	0	0	0	60000	60000	60000
A2020-DRY-2	14639	3458	345	0	0	0	60000	60000	60000
A2020-DRY-3	10681	1876	250	22224	1293	5812	21892	12329	1251
