sample	14age(yr)	14uncext(yr)	14uncint(yr)
14-TUG-033-CCR	5057	958	575
14-TUG-034-CCR	6695	1365	761
14-TUG-035-CCR	10472	2706	1392
14-TUG-036-CCRa	15649	5876	2839
14-TUG-036-CCRb	10368	2299	302
14-TUG-036-CCRc	11996	3012	463
14-TUG-037-CCR	13561	4319	2073
14-TUG-038-CCRa	14818	5191	2473
14-TUG-038-CCRb	17634	6860	937
14-TUG-038-CCRc	19286	8576	1080
14-TUG-038-CCRd	12351	3174	411
